Product_ID,Shelf_Life_Days,Sales_2021,Sales_2022,Market_Trend_Factor,Compliance_Status,Supplier_ID,Manufacturing_Location,Product_Category,Safety_Stock_Days,Storage_Location
Product_1,277,602.6,545,0.9063032622232317,Compliant,Supplier_2,Location_B,Category_B,22,Warehouse_C
Product_2,343,359.4,345,0.9725000214708511,Compliant,Supplier_1,Location_C,Category_C,24,Warehouse_C
Product_3,291,983.0,915,1.0260740123019958,Non-compliant,Supplier_5,Location_C,Category_A,24,Warehouse_B
Product_4,298,789.4,751,0.9115029208469522,Compliant,Supplier_8,Location_C,Category_A,20,Warehouse_B
Product_5,260,326.8,430,1.052617136969805,Compliant,Supplier_10,Location_A,Category_B,21,Warehouse_A
Product_6,279,404.6,331,0.7722357952492791,Compliant,Supplier_4,Location_A,Category_B,18,Warehouse_A
Product_7,266,842.4,692,0.9605400053799684,Compliant,Supplier_4,Location_A,Category_B,19,Warehouse_A
Product_8,327,460.6,463,1.1268787129695204,Compliant,Supplier_4,Location_C,Category_C,13,Warehouse_B
Product_9,302,304.2,401,1.0105626287938565,Non-compliant,Supplier_8,Location_B,Category_A,14,Warehouse_C
Product_10,313,388.20000000000005,241,0.6582127374574727,Compliant,Supplier_7,Location_A,Category_A,26,Warehouse_B
Product_11,325,353.8,405,1.0099169080532238,Compliant,Supplier_1,Location_B,Category_C,20,Warehouse_B
Product_12,304,602.6,593,1.035686125503279,Compliant,Supplier_10,Location_C,Category_A,31,Warehouse_A
Product_13,264,528.8,428,0.4837267896142308,Compliant,Supplier_6,Location_C,Category_B,21,Warehouse_C
Product_14,298,426.8,502,1.3954868156037576,Compliant,Supplier_4,Location_C,Category_A,22,Warehouse_A
Product_15,344,256.8,252,1.0910953472985212,Compliant,Supplier_2,Location_C,Category_C,10,Warehouse_A
Product_16,329,547.8,587,0.9324133088743042,Compliant,Supplier_3,Location_C,Category_C,14,Warehouse_C
Product_17,270,227.6,282,1.3029073115645748,Non-compliant,Supplier_4,Location_C,Category_B,30,Warehouse_B
Product_18,264,669.0,697,0.9157004585005405,Compliant,Supplier_10,Location_B,Category_B,15,Warehouse_C
Product_19,295,572.2,589,0.8843583800360844,Non-compliant,Supplier_7,Location_C,Category_A,19,Warehouse_A
Product_20,275,327.0,391,1.1318736169322552,Non-compliant,Supplier_1,Location_C,Category_B,15,Warehouse_A
Product_21,301,277.4,299,1.1322798494294708,Compliant,Supplier_1,Location_C,Category_A,22,Warehouse_A
